100 110 120 130 140 140 130 120 200 210 220 230 240 240 230 220 300 310 320 330 340 340 330 320 400 410 420 430 440 440 430 420 
100 110 120 130 140 140 130 120 200 210 220 230 240 240 230 220 300 310 320 330 340 340 330 320 400 410 420 430 440 440 430 420
101 111 121 131 141 141 131 121 211 211 221 231 241 241 231 221 301 311 321 331 341 341 331 321 401 411 421 431 441 441 431 421 
101 111 121 131 141 141 131 121 211 211 221 231 241 241 231 221 301 311 321 331 341 341 331 321 401 411 421 431 441 441 431 421  
103 113 123 133 143 143 133 123 203 213 223 233 243 243 233 223 303 313 323 333 343 343 333 323 403 413 423 433 443 443 433 423 
105 115 125 135 145 145 135 125 205 215 225 235 245 245 235 225 305 315 325 335 345 345 335 325 405 415 425 435 445 455 435 425
108 118 128 138 148 148 138 128 208 218 228 238 248 248 238 228 308 318 328 338 348 348 338 328 408 418 428 438 448 448 438 428 
111	121	131	141	151	151	141	131	211	221	231	241	251	251	241	231	311	321	331	341	351	351	341	331	411	421	431	441	451	451	441	431
115	125	135	145	155	155	145	135	215	225	235	245	255	255	245	235	315	325	335	345	355	355	345	335	415	425	435	445	455	455	445	435
119	129	139	149	159	159	149	139	219	229	239	249	259	259	249	239	319	329	339	349	359	359	349	339	419	429	439	449	459	459	449	439
128	138	148	158	168	168	158	148	228	238	248	258	268	268	258	248	328	338	348	358	368	368	358	348	428	438	448	458	468	468	458	448
139	149	159	169	179	179	169	159	239	249	259	269	279	279	269	259	339	349	359	369	379	379	369	359	439	449	459	469	479	479	469	459
140	150	160	170	180	180	170	160	240	250	260	270	280	280	270	260	340	350	360	370	380	380	370	360	440	450	460	470	480	480	470	460
155	165	175	185	195	195	185	175	255	265	275	285	295	295	285	275	355	365	375	385	395	395	385	375	455	465	475	485	495	495	485	475
180	190	200	210	220	220	210	200	280	290	300	310	320	320	310	300	380	390	400	410	420	420	410	400	480	490	500	510	520	520	510	500







